NAME,FED_RSSD,CITY
"The Peoples State Bank of Newton, Illinois",326344,Newton
"Bank of Bridger, National Association",17950,Bridger
PeoplesSouth Bank,518037,Colquitt
"CommunityBank of Texas, N.A.",774262,Beaumont
"Leader Bank, National Association",3109146,Arlington
Farmers State Bank - Pittsfield,477648,Pittsfield
The New Washington State Bank,305442,New Washington
The Ohio Valley Bank Company,498317,Gallipolis
Cambridge Savings Bank,758703,Cambridge
The Bank of South Carolina,246022,Charleston
FIDELITY BANK,255574,New Orleans
VISIONBANK OF IOWA,269049,Ames
The Bank of Castile,165806,Castile
Citizens Community Bank - Hahira,564838,Hahira
Centier Bank,783648,Whiting
Fortis Bank,2515320,Denver
Southern Michigan Bank & Trust,822042,Coldwater
Labette Bank,483751,Altamont
Royal Business Bank,3835454,Los Angeles
East Boston Savings Bank - Boston,1000100,Boston
HNB National Bank,908553,Hannibal
First Citizens National Bank,133850,Dyersburg
Southwest Bank,561864,Odessa
Meade County Bank,776547,Brandenburg
"Chain Bridge Bank, National Association",3597211,Mclean
Great Southern Bank - Meridian,101738,Meridian
American National Bank of Minnesota,306159,Baxter
Peoples Trust Company of St. Albans,463605,Saint Albans
Eastern Connecticut Savings Bank,939070,Norwich
City National Bank of West Virginia,1011526,Charleston
Quad City Bank and Trust Company,2142155,Bettendorf
Cattaraugus County Bank,254504,Little Valley
Webster Five Cents Savings Bank,765505,Webster
Central Bank & Trust Company,1007015,Lexington
Fairfield County Bank,882701,Ridgefield
Raymond James Bank,2193616,Saint Petersburg
Jewett City Savings Bank,820301,Jewett City
Capon Valley Bank,18836,Wardensville
Provident Bank,204004,Jersey City
The Bennington State Bank,1016259,Salina
Manufacturers and Traders Trust Company,501105,Buffalo
Ion Bank,407506,Naugatuck
Alliance Bank - Lake City,166652,Lake City
Quantum National Bank,2354387,Suwanee
Legacy Bank - Grundy,268828,Grundy
Main Street Bank Corp. - Wooster,985479,Wooster
Vision Bank,241157,Ada
Holcomb Bank,568135,Rochelle
"Classic Bank, National Association",182951,Cameron
Main Street Bank,818401,Marlborough
The Bank of Canton,853804,Canton
FineMark National Bank & Trust,3547131,Fort Myers
Brentwood Bank,534877,Bethel Park
North Shore Bank,376273,Brookfield
First International Bank & Trust,236153,Watford City
Gibsland Bank & Trust Company,734350,Gibsland
Boonville Federal Savings Bank,991078,Boonville
Mid America Bank,873259,Jefferson City
The Bradford National Bank of Greenville,720746,Greenville
Bank of Oak Ridge,2903123,Oak Ridge
BANK,952846,Wapello
BankFirst,117458,Norfolk
Mt. McKinley Bank,542667,Fairbanks
Magnolia State Bank - Bay Springs,34434,Bay Springs
Citizens Savings Bank - Bogalusa,1014376,Bogalusa
Metairie Bank & Trust Company,55336,Metairie
Grand Valley Bank,178851,Heber City
Cornerstone Bank - Spencer,447100,Spencer
Global Bank,3561771,New York
Unified Bank,584724,Martins Ferry
First National Bank of Omaha,527954,Omaha
North Shore Bank of Commerce,126553,Duluth
BankPlus,121642,Belzoni
First Federal Savings and Loan Association of San Rafael,229070,San Rafael
Mutual Savings Association,636276,Leavenworth
County National Bank - Hillsdale,682143,Hillsdale
VisionBank,3312124,Topeka
Bank of Washington,565750,Washington
"BOKF, National Association",339858,Tulsa
Citizens Community Bank - Mascoutah,2007991,Mascoutah
First Federal Savings and Loan Association - Newark,623874,Newark
Security Bank of Kansas City,1009354,Kansas City
The Farmers National Bank of Canfield,680813,Canfield
"UMB Bank, National Association - Kansas City",936855,Kansas City
Bank of Edmonson County,903240,Brownsville
The Maries County Bank,441359,Vienna
Lakeland Bank,687009,Newfoundland
Banco Popular de Puerto Rico - San Juan,940311,San Juan
First State Bank - Wrens,36933,Wrens
Bell Bank,929352,Fargo
Hometown Bank - Kent,940674,Kent
Broadstreet Bank S S B,279,Mineola
Midwest Bank - Monmouth,709143,Monmouth
Farmers and Mechanics Federal Savings Bank,412872,Bloomfield
Community First Bank - Kennewick,2642598,Kennewick
"WesBanco Bank, Inc.",645625,Wheeling
Equitable Bank,81175,Grand Island
Peoples Bank of Kankakee County,821036,Bourbonnais
First National Bank of Huntsville,583352,Huntsville
The First National Bank in Sioux Falls,326858,Sioux Falls
1st National Bank,480723,Lebanon
Northfield Savings Bank,520003,Northfield
The Cape Cod Five Cents Savings Bank,664206,Hyannis
First Bank of Berne,312244,Berne
Lisle Savings Bank,133971,Lisle
Kerndt Brothers Savings Bank,665146,Lansing
Dearborn Federal Savings Bank,1005075,Dearborn
Citizens Bank - Hartsville,381839,Hartsville
Think Mutual Bank,936583,Rochester
Jim Thorpe Neighborhood Bank,920210,Jim Thorpe
First Piedmont Federal Savings and Loan Association of Gaffney,646172,Gaffney
First Federal Savings and Loan Association of Bath,583071,Bath
Citizens Bank - Columbia,514132,Columbia
Adams Bank & Trust,463650,Ogallala
Superior Savings Bank,575375,Superior
UBank,917555,Huntington
Bank of Richmondville,767611,Cobleskill
First Financial Bank - El Dorado,48374,El Dorado
"FNB Bank, Inc. - Romney",969639,Romney
"Flagstar Bank, National Association",694904,Hicksville
Bank of Travelers Rest,589523,Travelers Rest
PeoplesBank,613400,Holyoke
The Honesdale National Bank,465618,Honesdale
BNC National Bank - Glendale,2358769,Glendale
First State Bank - New London,801047,New London
The Peoples Bank - Mount Washington,271341,Mount Washington
EvaBank,498531,Eva
The First National Bank of Hughes Springs,849357,Hughes Springs
Luther Burbank Savings,497570,Santa Rosa
Bank of Botetourt,759625,Buchanan
Fox Valley Savings Bank,835770,Fond Du Lac
Liberty National Bank - Sioux City,3140822,Sioux City
"VeraBank, National Association",56351,Henderson
First Western Federal Savings Bank,715470,Rapid City
Exchange Bank - Santa Rosa,507068,Santa Rosa
Unity Bank - Augusta,443353,Augusta
Citizens Bank of Rogersville,246451,Rogersville
"First Financial Bank, National Association",693345,Terre Haute
Wood & Huston Bank,671558,Marshall
Ambler Savings Bank,206174,Ambler
"FCN Bank, National Association",321947,Brookville
"First Commercial Bank, National Association",400365,Seguin
United Bank - Springdale,539377,Springdale
First National Bank - Fort Pierre,355858,Fort Pierre
PennCrest Bank,805876,Altoona
CNB Bank,399517,Clearfield
"First National Bank, Ames, Iowa",820048,Ames
Farmers & Merchants Bank,348720,Granite Quarry
Wilson Bank and Trust,159636,Lebanon
Cedar Rapids Bank and Trust Company,3029589,Cedar Rapids
Eaton Community Bank,980773,Charlotte
Greenville Federal,567679,Greenville
"Bremer Bank, National Association",800657,Saint Paul
Origin Bank,667757,Choudrant
Mutual Federal Bank,235174,Chicago
Citizens State Bank - Miles,296755,Miles
Ennis State Bank,435059,Ennis
"Calhoun County Bank, Inc.",498625,Grantsville
Stifel Bank and Trust,3076248,Saint Louis
Northstar Bank,2958972,Bad Axe
United Bank of Union,562058,Union
The Queenstown Bank of Maryland,429021,Queenstown
Phoenixville Federal Bank and Trust,824671,Phoenixville
Resource Bank,2716088,Covington
Washington County Bank,1000052,Blair
Independent Bank - Memphis,2666400,Memphis
Yakima Federal Savings and Loan Association,809771,Yakima
First National Bank - Hamilton,330239,Hamilton
Hawthorn Bank,508346,Jefferson City
Peoples Security Bank and Trust Company,278818,Scranton
Crossroads Bank - Yoakum,564463,Yoakum
National Exchange Bank and Trust,722544,Fond Du Lac
Citizens Deposit Bank & Trust,344816,Vanceburg
Winchester Savings Bank,899008,Winchester
Farmers and Drovers Bank,788559,Council Grove
"PyraMax Bank, FSB",713476,Greenfield
Bank of the West,804963,San Francisco
Apple Bank,249612,New York
The Nodaway Valley Bank,770657,Maryville
"Texas Republic Bank, National Association",735067,Frisco
TowneBank,2797724,Portsmouth
First Southern Bank - Florence,66275,Florence
The Juniata Valley Bank,215710,Mifflintown
Windsor Federal Bank,92676,Windsor
ServisFirst Bank,3348888,Birmingham
"North American Savings Bank, F.S.B.",211271,Grandview
"Traditional Bank, Inc.",786210,Mount Sterling
American Heritage Bank,311050,Sapulpa
"Roxboro Savings Bank, SSB",472979,Roxboro
Union State Bank,227151,Arkansas City
First Citizens Community Bank,978118,Mansfield
Peoples Bank - Munster,568470,Munster
Peoples Bank - Clive,968249,Clive
Virginia National Bank,2708122,Charlottesville
Pioneer Bank - Mapleton,920854,Mapleton
Artisans' Bank,73116,Wilmington
Bank Five Nine,806846,Oconomowoc
Peoples Bank - Lubbock,819855,Lubbock
Bank Iowa,187947,West Des Moines
Keystone Savings Bank,931944,Marengo
Farmers State Bank - Cameron,757452,Cameron
Bank of O'Fallon,410748,O'Fallon
Pentucket  Bank,635907,Haverhill
Preferred Bank,1918344,Los Angeles
Patriot Bank,3120646,Millington
Farmers and Merchants Bank of Long Beach,871769,Long Beach
Lincoln Savings Bank,589943,Reinbeck
"Barrington Bank & Trust Company, National Association",2508751,Barrington
Crews Bank & Trust,200435,Wauchula
Presence Bank,660570,Coatesville
Meredith Village Savings Bank,576608,Meredith
Jefferson Security Bank,786733,Shepherdstown
Range Bank,355559,Marquette
"The Security National Bank of Sioux City, Iowa",418249,Sioux City
Enterprise Bank & Trust,1190476,Clayton
American Momentum Bank,3447576,College Station
Centreville Bank,876700,West Warwick
I3 Bank,348159,Bennington
"The City National Bank and Trust Company of Lawton, Oklahoma",294751,Lawton
Valley Central Bank,320070,Liberty Township
Horicon Bank,528849,Horicon
Fifth District Savings Bank,837970,New Orleans
Bankers' Bank,408642,Madison
The Village Bank,173575,Auburndale
Idaho First Bank,3384952,Mccall
"F & M Community Bank, National Association",171759,Preston
"American Savings Bank, FSB",54973,Honolulu
BankIowa - Waterloo,737548,Waterloo
Union Bank and Trust Company - Bowling Green,693224,Bowling Green
Union State Bank of Clinton,508346,Clinton
National Bank of the Commonwealth,42420,Indiana
Kennebunk Savings Bank,247908,Kennebunk
BayCoast Bank,771609,Swansea
Citizens Savings Bank - Clarks Summit,828473,Clarks Summit
Peoples Bank & Trust,109136,Buford
Progress Bank and Trust,3690596,Huntsville
Orange Bank & Trust Company,176101,Middletown
Northway Bank,30502,Berlin
Citizens Community Federal National Association,962890,Altoona
Community Savings Bank - Edgewood,646743,Edgewood
The Fountain Trust Company,145844,Covington
Sunset Bank & Savings,2756767,Waukesha
Gouverneur Savings and Loan Association,905673,Gouverneur
Bryant Bank,3356191,Tuscaloosa
The Cincinnatus Savings & Loan Co.,815772,Cincinnati
Texas Commerce Bank-Greenway Plaza National Association,31255,Houston
PrimeSouth Bank,1011638,Blackshear
Dairy State Bank,57451,Rice Lake
"FNB Bank, Inc. - Mayfield",400141,Mayfield
Greenfield Banking Company,592644,Greenfield
Legacy National Bank,3306280,Springdale
The Bank of Forest,642437,Forest
Oxford Bank & Trust,647432,Oak Brook
Pennian Bank,212018,Mifflintown
Kanza Bank,4156,Kingman
Atlantic Union Bank,693224,Richmond City
SouthernTrust Bank,3316739,Marion
PCSB Bank,24006,Brewster
The Port Washington State Bank,937740,Port Washington
Cumberland Valley National Bank & Trust Company,647218,London
Mifflinburg Bank and Trust Company,779016,Mifflinburg
Mound City Bank,259442,Platteville
Katahdin Trust Company,327305,Patten
Byron Bank,325534,Byron
"Shore United Bank, N.A.",933023,Easton
Ascendia Bank,147679,Glen Rock
Guaranty Bank and Trust Company - Belzoni,84541,Belzoni
Edgewater  Bank,633677,Saint Joseph
First Nebraska Bank,576952,Valley
Baraboo State Bank,24949,Baraboo
Ixonia Bank,529341,Ixonia
First Community Bank - Batesville,2596646,Batesville
Signature Bank of Arkansas,3350724,Fayetteville
"Vast Bank, National Association",347956,Tulsa
First Savings Bank - Jeffersonville,785473,Jeffersonville
The Pittsfield Co-operative Bank,1000276,Pittsfield
Kentucky Bank,373115,Paris
Sauk Valley Bank & Trust Company,2797162,Sterling
Trustmark National Bank,342634,Jackson
"StonehamBank,  A Co-operative Bank",954279,Stoneham
"Hatboro Federal Savings, FA",995272,Hatboro
"Pendleton Community Bank, Inc.",370020,Franklin
New Carlisle Federal Savings Bank,646873,New Carlisle
First State Bank and Trust - Tonganoxie,605656,Tonganoxie
"The Poca Valley Bank, Inc.",851239,Walton
The Hometown Bank of Alabama,3217331,Oneonta
American National Bank - Fox Cities,2051127,Appleton
"Heritage Bank, Inc.",1469677,Erlanger
Lakeside State Bank,879457,New Town
Hearthside Bank Corporation,902672,Middlesboro
Bank of Wisconsin Dells,894348,Wisconsin Dells
Volunteer State Bank,774132,Portland
USAA Federal Savings Bank,619877,Phoenix
Louisiana National Bank,109659,Ruston
Denali State Bank,571265,Fairbanks
"BankFinancial, National Association",454676,Olympia Fields
Thomasville National Bank,2344753,Thomasville
Southern Bank,272272,Poplar Bluff
The Central National Bank of Poteau,459354,Poteau
First National Bank in Port Lavaca,855264,Port Lavaca
Mechanics Cooperative Bank,183770,Taunton
Citizens First Bank,1867983,The Villages
"First Bankers Trust Company, National Association",344647,Quincy
"United Fidelity Bank, fsb",391575,Evansville
Texas Partners Bank,3548567,San Antonio
McClain Bank,648251,Purcell
The First National Bank of Jeanerette,622037,Jeanerette
Westfield Bank,892205,Westfield
PathFinder Bank,729310,Oswego
Farmers & Merchants Bank of Central California,808260,Lodi
HomeStreet Bank,258771,Seattle
First National Bank of Griffin,563233,Griffin
CHARTER WEST BANK,582953,West Point
"Industrial and Commercial Bank of China USA, National Association",1015560,New York
First Merchants Bank,17147,Muncie
Simmons Bank,663245,Pine Bluff
Freedom Bank of Southern Missouri,2835103,Cassville
Paramount Bank,3308574,Hazelwood
American Bank of Oklahoma,2684552,Collinsville
Isabella Bank,74140,Mount Pleasant
Ponce Bank,897170,Bronx
Community First National Bank,2907019,Manhattan
"The Equitable Bank, S.S.B.",336576,Wauwatosa
First American Bank - Artesia,771458,Artesia
Washington State Bank - Washington,433943,Washington
John Marshall Bank,3419416,Reston
BancFirst,1386251,Oklahoma City
The Federal Savings Bank,2806877,Chicago
Malvern Bank N.A.,676478,Paoli
Better Banks,851631,Peoria
Guaranty Bank - Springfield,131173,Springfield
The Farmers Bank - Nicholasville,485214,Nicholasville
Goodfield State Bank,936837,Goodfield
Cornerstone Bank - York,403151,York
Citizens State Bank - Somerville,261360,Somerville
Core Bank,976552,Omaha
First Option Bank,285852,Osawatomie
Georgia Banking Company,3016347,Atlanta
Ameristate Bank,508355,Atoka
First Century Bank,999935,Tazewell
The Peoples State Bank,454546,Ellettsville
The Citizens State Bank,273550,Moundridge
Mountain Valley Bank,714437,Dunlap
Cornerstone National Bank & Trust Company,2929392,Palatine
The Evangeline Bank and Trust Company,372538,Ville Platte
"Pioneer Bank, National Association",237619,Albany
International Bank of Commerce,1001152,Laredo
Bank of Utah,933975,Ogden
Wyoming Bank & Trust,64150,Cheyenne
"Colonial Savings, F.A.",339072,Fort Worth
West Central Bank,920733,Ashland
Lusitania Savings Bank,385686,Newark
First Federal Savings and Loan Association - Delta,80374,Delta
"First Federal Bank, A FSB",814074,Tuscaloosa
Central Bank - Provo,622774,Provo
Pathfinder Bank,729310,Oswego
Bank of the Flint Hills,552059,Wamego
Cross River Bank,3783313,Teaneck
"Evans Bank, National Association",292908,Angola
Bank of Stockton,479268,Stockton
INLAND BANK & TRUST,189745,Oak Brook
Savings Bank of Danbury,626101,Danbury
First Bank - Strasburg,899428,Strasburg
The Farmers Bank - Portland,901938,Portland
"SEVERN SAVINGS BANK, FSB DBA SEVERN BANK",411473,Annapolis
Central Pacific Bank,701062,Honolulu
"RBC Bank, (Georgia) National Association",3783948,Atlanta
Haddon Savings Bank,1008076,Haddon Heights
Security Financial Bank,450959,Durand
Sanibel Captiva Community Bank,3122994,Sanibel
First National Bank and Trust Company of Newtown,1007417,Newtown
West Town Bank & Trust,857576,North Riverside
Glennville Bank,439132,Glennville
First National Bank of America,413141,East Lansing
Wheatland Bank,129479,Spokane
Newburyport Five Cents Savings Bank,67209,Newburyport
"Associated Bank, National Association",917742,Green Bay
Georgia Community Bank,2823221,Dawson
Williamsville State Bank & Trust,365848,Williamsville
The Citizens National Bank of Bluffton,738013,Bluffton
American First National Bank,2694681,Houston
Quail Creek Bank,507152,Oklahoma City
Legence Bank,635840,Eldorado
American Federal Bank,637170,Fargo
State Bank of Chilton,120542,Chilton
Schuyler Savings Bank,657178,Kearny
First Federal Savings and Loan Association of Lakewood,318974,Lakewood
"New Peoples Bank, Inc.",2736451,Honaker
Adams Community Bank,343903,Adams
Banco do Brasil Americas,110936,Miami
North Brookfield Savings Bank,528102,North Brookfield
"Dakota Community Bank & Trust, National Association",815156,Hebron
Cashmere Valley Bank,574976,Cashmere
Arvest Bank,311845,Fayetteville
Peoples Bank of Alabama,60330,Cullman
Malaga Bank F.S.B.,773470,Palos Verdes Peninsula
East Boston Savings Bank - Boston,1000100,Boston
"Zions Bancorporation, N.A.",276579,Salt Lake City
Union Bank and Trust Company - Lincoln,450856,Lincoln
The Citizens National Bank of Somerset,410917,Somerset
People's Bank of Seneca,2396592,Seneca
The First State Bank,997052,Oklahoma City
Susquehanna Community Bank,556011,West Milton
The Farmers & Merchants Bank,677644,Stuttgart
MountainOne Bank,97804,North Adams
Chippewa Valley Bank,779650,Hayward
Arundel Federal Savings Bank,390372,Glen Burnie
"Patrons Bank, National Association",634955,Okmulgee
First Fed Bank,403179,Port Angeles
Murphy Bank,855563,Fresno
Washington Federal Bank,656377,Seattle
First Financial Northwest Bank,768074,Renton
American National Bank,660655,Omaha
FirstBank of Nebraska,540056,Wahoo
Synovus Bank,395238,Columbus
Field & Main Bank,618740,Henderson
One Community Bank,247140,Oregon
First National Bank - Damariscotta,439404,Damariscotta
The Bank of Missouri,330855,Perryville
The Farmers Bank of Willards,105026,Willards
First Resource Bank - Lino Lakes,3314043,Lino Lakes
Eastern Michigan Bank,643340,Croswell
Gold Coast Bank,3593307,Chicago
Banner Bank,352772,Walla Walla
ESB Financial,918954,Emporia
Alpine Bank,260055,Glenwood Springs
Alliance Bank - Francesville,493741,Francesville
Everett Co-operative Bank,952172,Everett
Bloomsdale Bank,820842,Bloomsdale
Kitsap Bank,584377,Port Orchard
Citizens & Northern Bank,895710,Wellsboro
"Peoples National Bank , N.A.",375043,Mount Vernon
Independent Bank - Mckinney,122854,Mckinney
Glenwood State Bank,566243,Glenwood
Northern Bank & Trust Company,900306,Woburn
Midwest BankCentre,657459,Lemay
"Academy Bank, National Association",535753,Kansas City
First Western Bank & Trust,687951,Minot
1st Security Bank of Washington,1018927,Mountlake Terrace
Peoples Bank - Rock Valley,998844,Rock Valley
The First National Bank of Bastrop,18050,Bastrop
FNB Community Bank,839255,Midwest City
Drummond Community Bank,1436071,Chiefland
RiverWood Bank,685779,Baxter
Homestead Savings Bank,132778,Albion
First Savings Bank - Beresford,67656,Beresford
Cache Valley Bank,995076,Logan
First National Bank Texas,613950,Killeen
"The Samson Banking Company, Inc.",472531,Samson
BankNewport,546003,Newport
CoreFirst Bank & Trust,361055,Topeka
Manasquan Bank,459671,Manasquan
Heritage Bank,881478,Olympia
Newtown Savings Bank,507509,Newtown
TIB National Association,529958,Farmers Branch
VISIONBank,3270046,Fargo
Premier Bank of the South,1160509,Cullman
Waukesha State Bank,290249,Waukesha
"First State Bank of the Southeast, Inc",961811,Middlesboro
BBVA USA,697633,Birmingham
Kaw Valley Bank,485456,Topeka
Merrimack County Savings Bank,74403,Concord
The First National Bank of Fort Smith,397540,Fort Smith
Alliance Bank - Sulphur Springs,176464,Sulphur Springs
"Investar Bank, National Association",3449066,Baton Rouge
The Canandaigua National Bank and Trust Company,161602,Canandaigua
University Bank,137652,Ann Arbor
Queensborough National Bank & Trust Company,960935,Louisville
Farmers & Stockmens Bank,622653,Clayton
First Oklahoma Bank,75259,Jenks
"Citizens Bank & Trust Company of Vivian, Louisiana",767554,Vivian
Needham Bank,339773,Needham
Washington Savings Bank,654300,Lowell
Blackhawk  Bank,27548,Beloit
The Bryn Mawr Trust Company,765019,Bryn Mawr
Kirkwood Bank & Trust Co.,908450,Bismarck
Citizens State Bank of La Crosse,447557,La Crosse
Alliance Community Bank,924937,Petersburg
First National Bank Alaska,114260,Anchorage
"Bank of America, National Association - Charlotte",480228,Charlotte
Two Rivers Bank & Trust,3320781,Burlington
Mechanics Bank - Walnut Creek,936462,Walnut Creek
Bangor Savings Bank,419406,Bangor
Texas Bank and Trust Company,949154,Longview
Bank of Ann Arbor,2390929,Ann Arbor
Farmers & Merchants State Bank,79145,Waterloo
Parke Bank,2764212,Sewell
"Security Bank, s.b.",218878,Springfield
"MUFG Union Bank, National Association",212465,San Francisco
Jeff Bank,306908,Jeffersonville
Lake City Bank,874845,Warsaw
PS Bank,597313,Wyalusing
Southside Bank,361167,Tyler
Pinnacle Bank - Lincoln,913856,Lincoln
Great American Bank,2815879,Lawrence
The Farmers Bank of Appomattox,188720,Appomattox
Texas Security Bank,3619216,Dallas
Sabine State Bank and Trust Company,125855,Many
Primis Bank,3325759,Tappahannock
"Westfield Bank, FSB",2986407,Westfield Center
American State Bank - Osceola,276645,Osceola
Reliabank Dakota,108951,Estelline
Thumb Bank and Trust,698649,Pigeon
Sawyer Savings Bank,605610,Saugerties
First Vision Bank of Tennessee,3350658,Tullahoma
CorTrust Bank National Association,61355,Mitchell
First Republic Bank,4114567,San Francisco
Community Savings Bank - Bethel,847979,Bethel
"BNY Mellon, National Association",934329,Pittsburgh
Martha's Vineyard Bank,196800,Edgartown
"El Dorado Savings Bank, F.S.B.",961576,Placerville
Warren-Boynton State Bank,837448,New Berlin
"First Mid Bank & Trust, National Association",762447,Mattoon
Falcon International Bank,564557,Laredo
MidFirst Bank - Oklahoma City,595270,Oklahoma City
Bank of Cleveland,144034,Cleveland
"Home Bank, National Association",929978,Lafayette
Milford Federal Bank,227777,Milford
Chemung Canal Trust Company,884303,Elmira
Waldo State Bank,131940,Waldo
Centric Bank,411512,Harrisburg
RSI BANK,148809,Rahway
Peoples Bank - Marietta,577128,Marietta
Millennium Bank,2820604,Ooltewah
QNB Bank,852713,Quakertown
First Western Trust Bank,3158546,Denver
DMB Community Bank,56548,Madison
Enterprise Bank of South Carolina,457426,Ehrhardt
Union Savings Bank - Freeport,817477,Freeport
Central State Bank - Coralville,678744,Coralville
Legacy Bank & Trust Company,397755,Mountain Grove
The Grant County Bank,718538,Petersburg
Peoples Bank of East Tennessee,2614344,Madisonville
Southern Bancorp Bank,852544,Arkadelphia
First National Bank - Altavista,979629,Altavista
Kirkpatrick Bank,67151,Edmond
"PNC Bank, National Association - Pittsburgh",817824,Pittsburgh
Banco Popular de Puerto Rico - San Juan,940311,San Juan
Union Bank - San Francisco,212465,San Francisco
"Country Club Bank, National Association",625654,Shawnee Mission
First National Bank - Beresford,67656,Beresford
Old National Bank - Evansville,208244,Evansville
Harris Trust and Savings Bank,75633,Chicago
Ashland State Bank,976552,Ashland
Five Star Bank,601416,Warsaw
The First National Bank of McConnelsville,44929,Mcconnelsville
Shinhan Bank America,1494914,New York
Hanover Community Bank,3793714,Garden City Park
"Shelby Savings Bank, SSB",552974,Center
Bank of Holland,941804,Holland
Haven Savings Bank,918477,Hoboken
"Citizens Bank, National Association",3303298,Providence
Investment Savings Bank,854173,Altoona
The First National Bank of Grayson,610913,Grayson
Rosedale Federal Savings and Loan Association,86675,Nottingham
Union Savings Bank - Cincinnati,911973,Cincinnati
Bank of Abbeville & Trust Company,213538,Abbeville
Bristol County Savings Bank,13103,Taunton
West Bank,139740,West Des Moines
Luana Savings Bank,674849,Luana
Merchants & Farmers Bank & Trust Company,136338,Leesville
FCB Banks,1459717,Collinsville
NBH Bank,4210227,Greenwood Village
"CB&S Bank, Inc.",594433,Russellville
"Kleberg  Bank, N.A.",556459,Kingsville
CS Bank,514048,Eureka Springs
Blue Grass Savings Bank,794345,Blue Grass
First Metro Bank,1222519,Muscle Shoals
MidWestOne Bank,836843,Iowa City
Country Bank for Savings,689209,Ware
Municipal Trust and Savings Bank,460332,Bourbonnais
Mutual Savings Bank,841472,Franklin
State Bank of Graymont,937339,Graymont
First National Bank of Waterloo,145545,Waterloo
Citizens Business Bank,933966,Ontario
Texas Capital Bank,2618780,Dallas
First Bank & Trust Co.,1228034,Duncan
The Huntington National Bank,12311,Columbus
First Utah Bank,207872,Salt Lake City
"Lone Star Capital Bank, National Association",2788656,San Antonio
"Mid-Southern Savings Bank, FSB",857875,Salem
Dieterich Bank,771140,Effingham
Citizens Bank of Lafayette,63733,Lafayette
First Resource Bank - Exton,3349241,Exton
"FirstCapital Bank of Texas, National Association",2746263,Midland
First National Bank of Pennsylvania,379920,Greenville
R Bank,3821037,Round Rock
The Garrett State Bank,465243,Garrett
American National Bank & Trust,498362,Wichita Falls
BankSouth,88231,Greensboro
Valley National Bank,229801,Passaic
The Andover Bank,27614,Andover
First National Bank in DeRidder,480433,Deridder
First Citizens Bank,541231,Luverne
The Bank of Landisburg,734613,Landisburg
Firstar Bank,427353,Sallisaw
"PNC Bank, National Association - Wilmington",817824,Wilmington
Slovenian Savings and Loan Association of Canonsburg,213471,Strabane
UniBank for Savings,709602,Whitinsville
Liberty Bank - Geraldine,386432,Geraldine
Premier Bank - Youngstown,981275,Youngstown
New Mexico Bank & Trust,2649122,Albuquerque
Liberty Bank for Savings,757377,Chicago
First Federal Bank - Lake City,384278,Lake City
Sutton Bank,110413,Attica
"Commercial Bank of Texas, National Association",885869,Nacogdoches
Union Savings Bank - Danbury,443205,Danbury
Garden Plain State Bank,987651,Wichita
First State Bank of Middlebury,967046,Middlebury
"HomeTown Bank, National Association",393953,Galveston
Farmers and Merchants Bank of St. Clair,266851,Saint Clair
Pinnacle Bank - Fort Worth,867650,Fort Worth
First Bank - Mccomb,875936,Mccomb
Freedom Bank,3729124,Maywood
Monson Savings Bank,951102,Monson
First Federal Savings Bank - Rochester,257578,Rochester
The Missouri Bank,309150,Warrenton
Westbury Bank,524971,Waukesha
Community National Bank - Seneca,354552,Seneca
OneLocal Bank,1013070,Norwood
Central National Bank - Waco,428060,Waco
VIST Bank,678717,Wyomissing
Bank of Pontiac,930442,Pontiac
